1695746026679,1695746026799,120
1695746026813,1695746026815,2
1695746026679,1695746028150,1471
1695746028153,1695746028155,2
1695746028156,1695746028389,233
1695746028391,1695746028424,33
1695746028425,1695746028431,6
1695746028432,1695746028433,1
1695746026817,1695746028725,1908
1695746026681,1695746029172,2491
1695746026679,1695746029183,2504
1695746029173,1695746029466,293
1695746028727,1695746030036,1309
1695746028435,1695746030162,1727
1695746030164,1695746030247,83
1695746029468,1695746030257,789
1695746030038,1695746030509,471
1695746030249,1695746031110,861
1695746031113,1695746031138,25
1695746029184,1695746031445,2261
1695746031447,1695746031796,349
1695746030511,1695746031955,1444
1695746030258,1695746031988,1730
1695746031797,1695746032539,742
1695746031990,1695746034860,2870
1695746034862,1695746035772,910
1695746031140,1695746035966,4826
1695746035774,1695746036099,325
1695746036102,1695746036104,2
1695746036106,1695746036108,2
1695746035968,1695746036650,682
1695746031958,1695746037110,5152
1695746036111,1695746037360,1249
1695746036652,1695746038444,1792
1695746037378,1695746038791,1413
1695746037111,1695746039410,2299
1695746038793,1695746041501,2708
1695746041502,1695746041532,30
1695746041535,1695746042511,976
1695746042514,1695746042542,28
1695746038447,1695746042894,4447
1695746032542,1695746043026,10484
1695746042545,1695746043169,624
1695746039412,1695746043760,4348
1695746042895,1695746043854,959
1695746043855,1695746044420,565
1695746043029,1695746044814,1785
1695746044421,1695746045301,880
1695746043762,1695746045817,2055
1695746044826,1695746046743,1917
1695746045821,1695746048918,3097
1695746043171,1695746049770,6599
1695746046744,1695746049915,3171
1695746049917,1695746051411,1494
1695746045303,1695746052389,7086
1695746049776,1695746052404,2628
1695746048919,1695746053322,4403
1695746052391,1695746053334,943
1695746053335,1695746053971,636
1695746053972,1695746054300,328
1695746053325,1695746054343,1018
1695746051449,1695746054490,3041
1695746054302,1695746054990,688
1695746052406,1695746055061,2655
1695746055065,1695746055387,322
1695746054991,1695746055526,535
1695746054491,1695746055652,1161
1695746054344,1695746056154,1810
1695746056156,1695746056391,235
1695746055659,1695746056475,816
1695746056477,1695746056713,236
1695746056716,1695746056783,67
1695746056392,1695746056807,415
1695746055527,1695746056875,1348
1695746055388,1695746057408,2020
1695746056784,1695746057604,820
1695746057605,1695746058244,639
1695746057409,1695746058253,844
1695746056876,1695746059389,2513
1695746058245,1695746060047,1802
1695746056808,1695746060295,3487
1695746060296,1695746061019,723
1695746061021,1695746061025,4
1695746060049,1695746061159,1110
1695746058254,1695746062018,3764
1695746061160,1695746062112,952
1695746061026,1695746062251,1225
1695746062019,1695746062488,469
1695746062113,1695746062628,515
1695746062629,1695746062639,10
1695746062252,1695746062783,531
1695746062784,1695746062949,165
1695746062639,1695746063226,587
1695746062489,1695746063638,1149
1695746063227,1695746063929,702
1695746063930,1695746063939,9
1695746063939,1695746063980,41
1695746062949,1695746063989,1040
1695746063990,1695746065163,1173
1695746065164,1695746065346,182
